notes,target
"On 26 Feb, in Chidikada village in Chodavaram mandal (Visakhapatnam, AP), locals rescued a minor girl from a teacher who attempted to rape her. The locals turned over the teacher to the police. [size=no report]",Riots
"On 26 Feb, in Ongole city (Prakasam, AP), unidentified rioters smashed and damaged the windowpanes of the car of a YSR Congress Party leader at the Kothapatnam bus stand. [size=no report]",Riots
"On 26 Feb, a mob with sticks and iron rods raided the Government Medical College hostel in Jammu city (J&K) and smashed windows as they attempted to reach Muslim and Kashmiri students who had barricaded themselves inside. No injuries were reported. [size=no report]",Riots
"On 26 Feb, in Sanvordem in Quepem tehsil (South Goa, Goa), during a bandh called by the Goa Mining People's Front (GMPF) to protest against the non-resumption of the mining industry, mining dependents staged a two-wheeler rally from Sanvordem Tisk and to Dharbandora. Police were deployed but no physical contact was reported. [size=thousands]",Protests
"On 26 Feb, in Usgao in Dicholi tehsil (North Goa, Goa), during a bandh called by the Goa Mining People's Front (GMPF) to protest against the non-resumption of the mining industry, mining dependents staged a rally. Present were Congress leaders and a Goa Suraksha Manch leader. [size=thousands]",Protests
"On 26 Feb, in Bicholim (North Goa, Goa), during a bandh called by the Goa Mining People's Front (GMPF) to protest against the non-resumption of the mining industry, mining dependents staged a rally, shouting slogans of restarting mining activities. Police were deployed but no physical contact was reported. [size=thousands]",Protests
"On 26 Feb, in Ponda area (North Goa, Goa), during a bandh called by the Goa Mining People's Front (GMPF) to protest against the non-resumption of the mining industry, protesters dumped mud on the Honda-Ponda road at Surla which was later removed. [size=thousands]",Protests
"On 26 Feb, in Quepem (South Goa, Goa), during a bandh called by the Goa Mining People's Front (GMPF) to protest against the non-resumption of the mining industry, mining dependents staged a two-wheeler rally from Tilamol to Quepem market. Police were deployed but no physical contact was reported. [size=thousands]",Protests
"On 26 Feb, in Curchorem in Quepem tehsil (South Goa, Goa), during a bandh called by the Goa Mining People's Front (GMPF) to protest against the non-resumption of the mining industry, mining dependents staged a two-wheeler rally from Sanguem to Curchorem. Police were deployed but no physical contact was reported. [size=thousands]",Protests
"On February 26, members of the Adhyapak Sangharsh Committee held a demonstration in front of the District Education Officer's office in Sangrur (Sangrur, Punjab) to oppose the show-cause notices given to teachers for boycotting 'Pado Punjab Padao Punjab' project. [size=no report]",Protests
"On February 26, residents of Jammu Basti demonstrated in Abohar (Fazilka, Punjab) against the construction work being undertaken by the municipal council, after heavy rains restricted their access to Gurdwara Baba Jiwan Singh. [size=no report]",Protests
"On February 26, members of the Khet Mazdoor Sabha opposed government policies and demanded improved conditions when they demonstrated outside Deputy Commissioner's office in Ludhiana (Ludhiana, Punjab). [size=no report]",Protests
"Between February 20 to 26, approximately 40 residents and 2 area councillors held a dharna in front of the deputy commissioner's office in Ludhiana (Punjab) to oppose the installation of a cell tower in the area. [size=42]",Protests
"On February 26, as part of an ongoing demonstration, students from the Punjab Agricultural University held a march holding placards in Ludhiana (Punjab) to demand that the rules governing four-wheeler entry on campus be applied to everyone or none at all. [size=no report]",Protests
"On February 26, students of Delhi University held a demonstration march in New Delhi (NCT of Delhi) to demand that action be taken against a student who assaulted a member of staff. [size=no report]",Protests
"On 26 Feb, in Kochi city (Ernakulam, Kerala), the Action Committee Employees of Fertilizers and Chemicals Travancore (FACT) under Save FACT Action Committee, including present and former MPs and the Leader of the Opposition, staged a protest and hunger strike in front of the Gandhi statue demanding a revival package for the public sector company. [size=500]",Protests
"On 26 Feb, in Visakhapatnam city (Visakhapatnam, AP), TDP workers led by MLA Vasupalli Ganesh Kumar staged a relay hunger strike as part of the ""Modi go back"" agitation to oppose the Prime Minister's visit in the city on 1 Mar as he failed to fulfill his promises in the Bifurcation Act. Protest still ongoing as of 27 Feb. Day 1 [size=large number]",Protests
"On 26 Feb, in Kasaragod district (Kerala), the Youth Congress staged a 48-hour fast agitation condemning the murders of party colleagues allegedly perpetrated by the CPI-M. [size=no report]",Protests
"On 26 Feb, in Tirunelveli district (TN), villagers and various Dalit outfit members staged a sit-in dharna at Marudham Nagar demanding the arrest of those who hacked to death a polytechnic college student from Marudham Nagar in Keezha Munneerpallam. [size=no report]",Protests
"On 26 Feb, in Kakinada city (East Godavari, AP), the Bharitiya Kisan Mazdoor Union East Godavari, including the CPI, unit staged a dharna at district Collectorate seeking solution to problems of poor farm workers. [size=no report]",Protests
"On 26 Feb, in Rajahmundry city (East Godavari, AP), members of Rajamahendravaram Bar Association (assumed lawyers) organised a rasta roko (""obstruct the road"") protest at Three-Town police station and burnt the effigy of a TDP MLA protesting against his use of abusive and inappropriate language against Dalits. They also boycotted duties. [size=no report]",Protests
"On 26 Feb, in Thiruvananthapuram city (Thiruvananthapuram, Kerala), Kottukal, Kanjiramkulam, Thirupuram, Chenkal and Karode village landowners, including the CPI, a former MLA, and a council chairman, staged a march to the NHAI office demanding enhanced compensation for their lands. [size=no report]",Protests
"On 26 Feb, in Puducherry city, the All Pondicherry Plastic Traders and Manufacturers Association (APPTMA) staged a rally from the AFT grounds to Ange Street urging the government to drop its proposal to ban the manufacture, sale, storage and usage of disposable plastic across the Union Territory. [size=5000]",Protests
"On 26 Feb, in Kodaikanal city (Kodaikanal, TN), within and around the Kodainakal municipal office, protesters shouted slogans against the police who were locking and sealing structures that are violating building standards. The crowd dispersed after police told them they would be arrested. Day 2 [size=no report]",Protests
"On 26 Feb, in Cuddalore area (Cuddalore, TN), the Association of University Teachers of Pachaiyappa's College from a Cuddalore-based college staged a protest in front of the Trust Board office to oppose the functioning of the Trust Board. The faculty of the C. Kandaswami Naidu College for Women also protested. [size=no report]",Protests
"On 26 Feb, in Madurai city (Madurai, TN), the Tamil Nadu Rural Development and Local body Department Employees' Association members staged a protest to oppose filling up of vacancies and to demand that the government drop cases against employees and teachers who took part in the JACCTO-GEO protests. [size=no report]",Protests
"On 26 Feb, in Salem city (Tamil Nadu), the Salem District All Videographers' Welfare Association members staged a protest on the Collectorate premises alleging irregularities in the tender allocation for videography for the parliamentary elections. [size=no report]",Protests
